start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,trip_count,started_at
Central Park S & 6 Ave,Central Park S & 6 Ave,40.76590936,-73.97634151,40.76590936,-73.97634151,84,2022-10-28 16:27:49.420
Soissons Landing,Soissons Landing,40.69231660719192,-74.01486575603485,40.69231660719192,-74.01486575603485,55,2022-07-04 11:46:23.274
Roosevelt Island Tramway,Roosevelt Island Tramway,40.757284,-73.9536,40.757284,-73.9536,52,2022-06-30 18:04:12.110
7 Ave & Central Park South,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,40.7667405590595,-73.9790689945221,47,2022-09-16 11:31:03.401
5 Ave & E 72 St,5 Ave & E 72 St,40.77282817,-73.96685276,40.77282817,-73.96685276,46,2022-06-25 13:33:06.359
Central Park North & Adam Clayton Powell Blvd,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,40.799484,-73.955613,42,2022-08-14 12:20:13.942
Yankee Ferry Terminal,Yankee Ferry Terminal,40.68706579875912,-74.01675585121666,40.68706579875912,-74.01675585121666,37,2022-07-17 14:27:13.891
W 22 St & 10 Ave,W 22 St & 8 Ave,40.74691959,-74.00451887,40.74475148,-73.99915362,36,2022-08-20 19:47:15.183
Broadway & W 58 St,Broadway & W 58 St,40.76695317,-73.98169333,40.76695317,-73.98169333,34,2022-01-13 08:26:32.896
10 Ave & W 28 St,W 26 St & 8 Ave,40.75066386,-74.00176802,40.74734825,-73.99723551,34,2022-10-26 07:49:08.133
Central Park West & W 72 St,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,40.77579376683666,-73.9762057363987,34,2022-09-19 19:03:15.715
Norfolk St & Broome St,Henry St & Grand St,40.7172274,-73.98802084,40.714211,-73.981095,32,2022-06-11 16:29:17.529
5 Ave & E 87 St,5 Ave & E 87 St,40.78232260730881,-73.95987510681152,40.78232260730881,-73.95987510681152,31,2022-07-11 07:33:15.851
Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,40.7643971,-73.97371465,31,2022-07-24 09:44:14.874
Soissons Landing,Yankee Ferry Terminal,40.69231660719192,-74.01486575603485,40.68706579875912,-74.01675585121666,31,2022-06-20 11:47:28.870
West Drive & Prospect Park West,West Drive & Prospect Park West,40.6610633719006,-73.97945255041122,40.6610633719006,-73.97945255041122,31,2022-03-05 11:10:31.723
W 21 St & 6 Ave,9 Ave & W 22 St,40.74173969,-73.99415556,40.7454973,-74.00197139,30,2022-09-04 16:59:23.263
N 6 St & Bedford Ave,S 4 St & Wythe Ave,40.71745169,-73.95850939,40.71285887,-73.96590294,29,2022-05-22 19:27:18.764
1 Ave & E 62 St,1 Ave & E 68 St,40.7612274,-73.96094022,40.76500525,-73.95818491,29,2022-09-28 23:26:23.039
Pier 40 - Hudson River Park,West St & Chambers St,40.7277140777778,-74.01129573583603,40.71754834,-74.01322069,29,2022-06-03 14:17:37.046
Clinton St & Grand St,Henry St & Grand St,40.71559509,-73.9870295,40.714211,-73.981095,28,2022-05-26 13:40:34.095
McGuinness Blvd & Eagle St,Vernon Blvd & 50 Ave,40.73555,-73.95284,40.74232744,-73.95411749,28,2022-12-05 18:55:45.307
Henry St & Grand St,Norfolk St & Broome St,40.714211,-73.981095,40.7172274,-73.98802084,28,2022-10-12 15:44:08.294
12 Ave & W 40 St,12 Ave & W 40 St,40.76087502,-74.00277668,40.76087502,-74.00277668,28,2022-09-24 14:07:23.657
E 2 St & Avenue C,E 1 St & 1 Ave,40.7208736,-73.98085795,40.72335597960796,-73.98864984512329,27,2022-06-23 10:36:02.422
10 Ave & W 14 St,West St & Chambers St,40.74198159994023,-74.00831580162048,40.71754834,-74.01322069,27,2022-07-22 14:51:03.462
West St & Liberty St,West St & Liberty St,40.711444,-74.014847,40.711444,-74.014847,27,2022-07-03 16:33:22.554
Little West St & 1 Pl,West St & Liberty St,40.70569254,-74.01677685,40.711444,-74.014847,27,2022-01-01 15:49:46.419
W 21 St & 6 Ave,W 22 St & 10 Ave,40.74173969,-73.99415556,40.74691959,-74.00451887,27,2022-09-01 10:06:43.290
West St & Chambers St,12 Ave & W 40 St,40.71754834,-74.01322069,40.76087502,-74.00277668,26,2022-07-13 17:36:16.308
Southpoint Park,Roosevelt Island Tramway,40.75370225419114,-73.95865201950072,40.757284,-73.9536,26,2022-06-04 16:04:22.536
W 22 St & 10 Ave,W 21 St & 6 Ave,40.74691959,-74.00451887,40.74173969,-73.99415556,26,2022-07-20 10:20:56.949
Vesey St & Church St,North Moore St & Greenwich St,40.71221958009051,-74.01047229766846,40.72019521437465,-74.0103006362915,26,2022-10-31 05:36:46.238
North Moore St & Greenwich St,Vesey St & Church St,40.72019521437465,-74.0103006362915,40.71221958009051,-74.01047229766846,25,2022-11-29 17:14:40.635
West St & Chambers St,Pier 40 - Hudson River Park,40.71754834,-74.01322069,40.7277140777778,-74.01129573583603,25,2022-07-27 18:31:25.672
West St & Chambers St,10 Ave & W 14 St,40.71754834,-74.01322069,40.74198159994023,-74.00831580162048,25,2022-07-09 13:58:40.200
Motorgate,Roosevelt Island Tramway,40.7639089,-73.9477213,40.757284,-73.9536,25,2022-02-20 13:08:49.390
Pier 40 - Hudson River Park,West St & Liberty St,40.7277140777778,-74.01129573583603,40.711444,-74.014847,25,2022-08-22 18:08:19.190
E 72 St & York Ave,2 Ave & E 72 St,40.76663814,-73.95348296,40.7687620293096,-73.95840793848038,24,2022-02-24 07:53:01.947
S 3 St & Bedford Ave,N 6 St & Bedford Ave,40.71260486,-73.96264403,40.71745169,-73.95850939,24,2022-05-18 14:00:27.824
W 70 St & Amsterdam Ave,Riverside Blvd & W 67 St,40.77748046,-73.98288594,40.777507027547976,-73.98888587951659,24,2022-11-04 01:31:39.930
River Ter & Warren St,Vesey Pl & River Terrace,40.71759894980997,-74.01587963104248,40.7153379,-74.01658354,24,2022-06-14 19:06:47.513
1 Ave & E 68 St,1 Ave & E 78 St,40.76500525,-73.95818491,40.77140426,-73.9535166,24,2022-05-09 23:58:23.216
46 Ave & 5 St,Vernon Blvd & 50 Ave,40.74731,-73.95451,40.74232744,-73.95411749,24,2022-08-24 18:50:28.066
1 Ave & E 78 St,2 Ave & E 72 St,40.77140426,-73.9535166,40.7687620293096,-73.95840793848038,24,2022-10-12 17:01:59.417
West St & Chambers St,West St & Chambers St,40.71754834,-74.01322069,40.71754834,-74.01322069,24,2022-08-17 21:13:51.931
Broadway & W 41 St,Broadway & W 41 St,40.75513557,-73.98658032,40.75513557,-73.98658032,24,2022-08-04 14:44:49.282
1 Ave & E 78 St,E 77 St & 3 Ave,40.77140426,-73.9535166,40.77314236,-73.95856158,24,2022-05-23 18:29:17.437
E 77 St & 3 Ave,1 Ave & E 78 St,40.77314236,-73.95856158,40.77140426,-73.9535166,23,2022-07-04 00:21:46.117
Canal St & Rutgers St,Henry St & Grand St,40.71427487,-73.98990025,40.714211,-73.981095,23,2022-04-16 18:50:40.223
West St & Liberty St,West St & Chambers St,40.711444,-74.014847,40.71754834,-74.01322069,23,2022-10-11 21:52:02.509
Soissons Landing,Picnic Point,40.69231660719192,-74.01486575603485,40.68512559515415,-74.02535319328308,23,2022-09-26 08:03:48.027
12 Ave & W 40 St,10 Ave & W 14 St,40.76087502,-74.00277668,40.74198159994023,-74.00831580162048,23,2022-05-15 13:41:58.091
Flatbush Ave & Ocean Ave,Flatbush Ave & Ocean Ave,40.663657,-73.963014,40.663657,-73.963014,23,2022-12-31 13:51:46.510
W 22 St & 10 Ave,W 22 St & 10 Ave,40.74691959,-74.00451887,40.74691959,-74.00451887,22,2022-03-26 14:08:00.315
W 70 St & Amsterdam Ave,W 64 St & Thelonious Monk Circle,40.77748046,-73.98288594,40.77515953434235,-73.98918695747852,22,2022-04-24 00:21:49.638
Central Park West & W 68 St,Central Park West & W 68 St,40.7734066,-73.97782542,40.7734066,-73.97782542,22,2022-04-19 15:51:19.406
Kent Ave & N 7 St,Milton St & Franklin St,40.72036775298455,-73.96165072917938,40.72906,-73.95779,22,2022-10-08 12:48:15.400
W 21 St & 6 Ave,W 20 St & 8 Ave,40.74173969,-73.99415556,40.74345335,-74.00004031,22,2022-03-24 08:26:06.632
Milton St & Franklin St,Kent Ave & N 7 St,40.72906,-73.95779,40.72036775298455,-73.96165072917938,22,2022-08-21 17:43:02.453
Vernon Blvd & 50 Ave,McGuinness Blvd & Eagle St,40.74232744,-73.95411749,40.73555,-73.95284,21,2022-01-05 20:38:29.025
S 4 St & Wythe Ave,N 6 St & Bedford Ave,40.71285887,-73.96590294,40.71745169,-73.95850939,21,2022-08-07 18:31:15.923
Centre St & Chambers St,Centre St & Chambers St,40.71273266,-74.0046073,40.71273266,-74.0046073,21,2022-06-11 23:06:25.406
W 21 St & 6 Ave,W 15 St & 7 Ave,40.74173969,-73.99415556,40.73935542,-73.99931783,21,2022-11-19 13:01:48.739
Central Park S & 6 Ave,Central Park North & Adam Clayton Powell Blvd,40.76590936,-73.97634151,40.799484,-73.955613,21,2022-12-17 18:46:58.920
8 Ave & W 33 St,W 35 St & 8 Ave,40.751551,-73.993934,40.752762088742045,-73.99280458705107,20,2022-09-20 14:30:08.704
W 20 St & 10 Ave,W 20 St & 8 Ave,40.745686,-74.005141,40.74345335,-74.00004031,20,2022-09-26 07:18:05.778
West St & Liberty St,Little West St & 1 Pl,40.711444,-74.014847,40.70569254,-74.01677685,20,2022-06-12 20:15:25.891
W 26 St & 10 Ave,W 26 St & 8 Ave,40.749717753,-74.002950346,40.74734825,-73.99723551,20,2022-09-12 12:26:55.862
W 34 St &\tHudson Blvd E,11 Ave & W 41 St,40.75516719072139,-74.00059908628464,40.76030096,-73.99884222,20,2022-08-14 17:03:53.426
7 Ave & Central Park South,Central Park North & Adam Clayton Powell Blvd,40.7667405590595,-73.9790689945221,40.799484,-73.955613,20,2022-10-20 16:59:04.951
1 Ave & E 68 St,E 88 St & 1 Ave,40.76500525,-73.95818491,40.778301,-73.9488134,20,2022-05-01 12:28:34.765
1 Ave & E 68 St,1 Ave & E 62 St,40.76500525,-73.95818491,40.7612274,-73.96094022,20,2022-05-20 06:28:25.556
West St & Chambers St,W 22 St & 10 Ave,40.71754834,-74.01322069,40.74691959,-74.00451887,20,2022-07-25 18:22:35.245
Central Park S & 6 Ave,5 Ave & E 87 St,40.76590936,-73.97634151,40.78232260730881,-73.95987510681152,20,2022-09-03 11:20:57.308
1 Ave & E 16 St,E 27 St & 1 Ave,40.73221853,-73.98165557,40.739445,-73.976806,20,2022-05-20 12:45:14.059
31 St & Newtown Ave,Newtown Ave & 23 St,40.7675487799971,-73.9209334552288,40.7713615,-73.9246145,20,2022-07-17 17:20:42.839
Amsterdam Ave & W 79 St,Amsterdam Ave & W 73 St,40.7829391,-73.9786517,40.77966809007312,-73.98093044757842,19,2022-10-07 11:13:28.492
11 Ave & W 41 St,W 34 St & 11 Ave,40.76030096,-73.99884222,40.75594159,-74.0021163,19,2022-08-17 12:10:05.725
West St & Chambers St,West St & Liberty St,40.71754834,-74.01322069,40.711444,-74.014847,19,2022-03-25 13:48:39.582
Brooklyn Bridge Park - Pier 2,Brooklyn Bridge Park - Pier 2,40.698458,-73.997178,40.698458,-73.997178,19,2022-07-17 20:12:36.314
12 Ave & W 40 St,Pier 40 - Hudson River Park,40.76087502,-74.00277668,40.7277140777778,-74.01129573583603,19,2022-03-25 14:28:20.150
Amsterdam Ave & W 73 St,Amsterdam Ave & W 79 St,40.77966809007312,-73.98093044757842,40.7829391,-73.9786517,19,2022-11-05 17:17:19.753
W 21 St & 6 Ave,W 22 St & 8 Ave,40.74173969,-73.99415556,40.74475148,-73.99915362,19,2022-08-17 18:45:07.607
Driggs Ave & Lorimer St,Driggs Ave & N 9 St,40.72179134,-73.9504154,40.71816969454208,-73.95520135760307,19,2022-07-05 10:39:00.429
E 33 St & 1 Ave,6 Ave & W 33 St,40.74322681432173,-73.97449783980846,40.74901271,-73.98848395,19,2022-10-11 18:33:12.544
Washington Square E,University Pl & E 14 St,40.73049393,-73.9957214,40.734814,-73.992085,19,2022-07-13 20:26:28.675
Roosevelt Island Tramway,Motorgate,40.757284,-73.9536,40.7639089,-73.9477213,19,2022-05-10 17:45:05.212
Clinton St & Grand St,Clinton St & Cherry St,40.71559509,-73.9870295,40.711471394469264,-73.98672603070736,19,2022-05-31 12:47:44.410
Vernon Blvd & 50 Ave,Center Blvd & 51 Ave,40.74232744,-73.95411749,40.74336608027021,-73.95960688591003,19,2022-06-05 12:19:16.000
Roosevelt Island Tramway,Southpoint Park,40.757284,-73.9536,40.75370225419114,-73.95865201950072,19,2022-06-24 15:35:00.290
Kent Ave & N 7 St,Franklin St & Dupont St,40.72036775298455,-73.96165072917938,40.73564,-73.95866,19,2022-09-06 18:25:54.802
6 Ave & W 33 St,E 33 St & 1 Ave,40.74901271,-73.98848395,40.74322681432173,-73.97449783980846,18,2022-03-16 10:16:13.024
12 Ave & W 40 St,West St & Chambers St,40.76087502,-74.00277668,40.71754834,-74.01322069,18,2022-08-14 15:10:55.002
E 7 St & Avenue A,Cooper Square & Astor Pl,40.72621788,-73.98379855,40.72951496224949,-73.99075269699097,18,2022-04-17 15:04:12.231
3 St & 7 Ave,7 Ave & Park Pl,40.6703837,-73.97839676,40.6776147,-73.97324283,18,2022-07-29 13:33:22.986
Old Slip & South St,South St & Gouverneur Ln,40.70336686695866,-74.007867872715,40.70355377,-74.00670227,18,2022-05-25 14:08:47.048
E 10 St & Avenue A,Ave A & E 14 St,40.72740794,-73.98142006,40.73031071000895,-73.98047178983688,18,2022-05-21 13:44:29.659
West St & Chambers St,Christopher St & Greenwich St,40.71754834,-74.01322069,40.73291553,-74.00711384,18,2022-06-25 07:04:20.950
Center Blvd & 51 Ave,Vernon Blvd & 50 Ave,40.74336608027021,-73.95960688591003,40.74232744,-73.95411749,18,2022-06-17 10:49:43.021
